`,id_coord,plume,set,lat,lon,coord_x,coord_y,path
20230223,id_6675,yes,train,31.52875,74.330625,24,47,images/plume/20230223_methane_mixing_ratio_id_6675
20230103,id_2542,yes,train,35.538,112.524,42,37,images/plume/20230103_methane_mixing_ratio_id_2542
20230301,id_6546,yes,train,21.06,84.9366666666667,58,15,images/plume/20230301_methane_mixing_ratio_id_6546
20230225,id_6084,yes,train,26.7566666666667,80.9733333333333,28,62,images/plume/20230225_methane_mixing_ratio_id_6084
20230105,id_2012,yes,train,34.8,40.77,59,44,images/plume/20230105_methane_mixing_ratio_id_2012
20230221,id_9028,yes,train,22.2866666666667,73.1266666666667,23,15,images/plume/20230221_methane_mixing_ratio_id_9028
20230129,id_6464,yes,train,27.0075,81.04,21,-2,images/plume/20230129_methane_mixing_ratio_id_6464
20230327,id_2274,yes,train,28.51,77.4424,37,56,images/plume/20230327_methane_mixing_ratio_id_2274
20230303,id_9482,yes,train,23.95375,90.21875,41,64,images/plume/20230303_methane_mixing_ratio_id_9482
20230206,id_9857,yes,train,23.1375,72.495,63,65,images/plume/20230206_methane_mixing_ratio_id_9857
20230116,id_3733,yes,train,26.4242857142857,80.2842857142857,41,52,images/plume/20230116_methane_mixing_ratio_id_3733
20230212,id_4447,yes,train,53.9545454545455,87.7790909090909,46,16,images/plume/20230212_methane_mixing_ratio_id_4447
20230120,id_9715,yes,train,19.124,72.886,45,9,images/plume/20230120_methane_mixing_ratio_id_9715
20230120,id_0080,yes,train,23.2133333333333,90.78,61,0,images/plume/20230120_methane_mixing_ratio_id_0080
20230301,id_6747,yes,train,25.79,85.395,53,25,images/plume/20230301_methane_mixing_ratio_id_6747
20230216,id_4447,yes,train,53.9545454545455,87.7790909090909,44,17,images/plume/20230216_methane_mixing_ratio_id_4447
20230216,id_4447,yes,train,53.9545454545455,87.7790909090909,39,8,images/plume/20230216_methane_mixing_ratio_id_4447
20230307,id_3192,yes,train,32.845,116.47,51,51,images/plume/20230307_methane_mixing_ratio_id_3192
20230110,id_8446,yes,train,22.930625,72.536875,9,3,images/plume/20230110_methane_mixing_ratio_id_8446
20230216,id_8446,yes,train,22.930625,72.536875,4,-2,images/plume/20230216_methane_mixing_ratio_id_8446
20230130,id_7566,yes,train,23.802,90.261,45,58,images/plume/20230130_methane_mixing_ratio_id_7566
20230221,id_8446,yes,train,22.930625,72.536875,3,3,images/plume/20230221_methane_mixing_ratio_id_8446
20230323,id_2274,yes,train,28.51,77.4424,40,57,images/plume/20230323_methane_mixing_ratio_id_2274
20230227,id_6675,yes,train,31.52875,74.330625,23,47,images/plume/20230227_methane_mixing_ratio_id_6675
20230107,id_2542,yes,train,35.538,112.524,42,38,images/plume/20230107_methane_mixing_ratio_id_2542
20230208,id_8613,yes,train,24.29,90.195,33,61,images/plume/20230208_methane_mixing_ratio_id_8613
20230121,id_2774,yes,train,18.6666666666667,73.7416666666667,60,33,images/plume/20230121_methane_mixing_ratio_id_2774
20230325,id_9715,yes,train,19.124,72.886,51,6,images/plume/20230325_methane_mixing_ratio_id_9715
20230304,id_6459,yes,train,31.685,-104.02,20,23,images/plume/20230304_methane_mixing_ratio_id_6459
20230330,id_0887,yes,train,38.475,54.25,21,11,images/plume/20230330_methane_mixing_ratio_id_0887
20230204,id_2884,yes,train,23.565,90.765,52,3,images/plume/20230204_methane_mixing_ratio_id_2884
20230112,id_0438,yes,train,36.6633333333333,109.863333333333,8,37,images/plume/20230112_methane_mixing_ratio_id_0438
20230227,id_2774,yes,train,18.6666666666667,73.7416666666667,63,29,images/plume/20230227_methane_mixing_ratio_id_2774
20230307,id_5726,yes,train,23.6033333333333,86.51,51,54,images/plume/20230307_methane_mixing_ratio_id_5726
20230216,id_7566,yes,train,23.802,90.261,45,74,images/plume/20230216_methane_mixing_ratio_id_7566
20230206,id_4187,yes,train,23.74,90.595,47,8,images/plume/20230206_methane_mixing_ratio_id_4187
20230219,id_6747,yes,train,25.79,85.395,56,21,images/plume/20230219_methane_mixing_ratio_id_6747
20230315,id_3510,yes,train,37.57,62,49,36,images/plume/20230315_methane_mixing_ratio_id_3510
20230320,id_7352,yes,train,37.63,61.65,46,38,images/plume/20230320_methane_mixing_ratio_id_7352
20230329,id_3201,yes,train,61.045,61.855,39,49,images/plume/20230329_methane_mixing_ratio_id_3201
20230327,id_9907,yes,train,-34.55125,-58.58625,60,26,images/plume/20230327_methane_mixing_ratio_id_9907
20230128,id_6546,yes,train,21.06,84.9366666666667,57,13,images/plume/20230128_methane_mixing_ratio_id_6546
20230403,id_2012,yes,train,34.8,40.77,62,36,images/plume/20230403_methane_mixing_ratio_id_2012
20230322,id_4447,yes,train,53.9545454545455,87.7790909090909,45,15,images/plume/20230322_methane_mixing_ratio_id_4447
20230315,id_4447,yes,train,53.9545454545455,87.7790909090909,44,15,images/plume/20230315_methane_mixing_ratio_id_4447
20230113,id_2040,yes,train,23.75,86.56,47,49,images/plume/20230113_methane_mixing_ratio_id_2040
20230211,id_9857,yes,train,23.1375,72.495,62,64,images/plume/20230211_methane_mixing_ratio_id_9857
20230307,id_2274,yes,train,28.51,77.4424,37,56,images/plume/20230307_methane_mixing_ratio_id_2274
20230205,id_8446,yes,train,22.930625,72.536875,4,1,images/plume/20230205_methane_mixing_ratio_id_8446
20230221,id_7820,yes,train,17.475,78.58,31,61,images/plume/20230221_methane_mixing_ratio_id_7820
20230113,id_8815,yes,train,32.11,-101.62,7,2,images/plume/20230113_methane_mixing_ratio_id_8815
20230118,id_4928,yes,train,38.6336363636364,54.2363636363636,16,4,images/plume/20230118_methane_mixing_ratio_id_4928
20230206,id_9715,yes,train,19.124,72.886,53,8,images/plume/20230206_methane_mixing_ratio_id_9715
20230320,id_8060,yes,train,37.26,-82.192,58,28,images/plume/20230320_methane_mixing_ratio_id_8060
20230226,id_7820,yes,train,17.475,78.58,34,54,images/plume/20230226_methane_mixing_ratio_id_7820
20230227,id_2274,yes,train,28.51,77.4424,38,56,images/plume/20230227_methane_mixing_ratio_id_2274
20230206,id_6737,yes,train,19.5657142857143,-99.0414285714286,34,65,images/plume/20230206_methane_mixing_ratio_id_6737
20230211,id_7820,yes,train,17.475,78.58,30,65,images/plume/20230211_methane_mixing_ratio_id_7820
20230219,id_4928,yes,train,38.6336363636364,54.2363636363636,19,5,images/plume/20230219_methane_mixing_ratio_id_4928
20230220,id_6464,yes,train,27.0075,81.04,19,-1,images/plume/20230220_methane_mixing_ratio_id_6464
20230209,id_9857,yes,train,23.1375,72.495,64,62,images/plume/20230209_methane_mixing_ratio_id_9857
20230326,id_7467,yes,train,38.74,54.2466666666667,15,-3,images/plume/20230326_methane_mixing_ratio_id_7467
20230116,id_2274,yes,train,28.51,77.4424,45,61,images/plume/20230116_methane_mixing_ratio_id_2274
20230219,id_3510,yes,train,37.57,62,47,44,images/plume/20230219_methane_mixing_ratio_id_3510
20230110,id_3348,yes,train,33.5133333333333,-87.2033333333333,32,63,images/plume/20230110_methane_mixing_ratio_id_3348
20230224,id_8701,yes,train,31.4433333333333,74.3166666666667,26,49,images/plume/20230224_methane_mixing_ratio_id_8701
20230202,id_4928,yes,train,38.6336363636364,54.2363636363636,16,4,images/plume/20230202_methane_mixing_ratio_id_4928
20230226,id_7566,yes,train,23.802,90.261,45,56,images/plume/20230226_methane_mixing_ratio_id_7566
20230111,id_8714,yes,train,27.8933333333333,-101.293333333333,60,10,images/plume/20230111_methane_mixing_ratio_id_8714
20230202,id_3510,yes,train,37.57,62,47,44,images/plume/20230202_methane_mixing_ratio_id_3510
20230227,id_4799,yes,train,36.635,61.455,9,28,images/plume/20230227_methane_mixing_ratio_id_4799
20230307,id_8701,yes,train,31.4433333333333,74.3166666666667,26,47,images/plume/20230307_methane_mixing_ratio_id_8701
20230131,id_6675,yes,train,31.52875,74.330625,23,47,images/plume/20230131_methane_mixing_ratio_id_6675
20230222,id_7820,yes,train,17.475,78.58,25,62,images/plume/20230222_methane_mixing_ratio_id_7820
20230223,id_2274,yes,train,28.51,77.4424,44,61,images/plume/20230223_methane_mixing_ratio_id_2274
20230328,id_8773,yes,train,51.85,75.446,31,13,images/plume/20230328_methane_mixing_ratio_id_8773
20230115,id_3534,yes,train,-26.63,29.0225,32,50,images/plume/20230115_methane_mixing_ratio_id_3534
20230209,id_2040,yes,train,23.75,86.56,47,51,images/plume/20230209_methane_mixing_ratio_id_2040
20230120,id_7566,yes,train,23.802,90.261,45,59,images/plume/20230120_methane_mixing_ratio_id_7566
20230227,id_8613,yes,train,24.29,90.195,29,52,images/plume/20230227_methane_mixing_ratio_id_8613
20230219,id_6084,yes,train,26.7566666666667,80.9733333333333,27,61,images/plume/20230219_methane_mixing_ratio_id_6084
20230113,id_1465,yes,train,23.8333333333333,90.46,44,62,images/plume/20230113_methane_mixing_ratio_id_1465
20230327,id_6675,yes,train,31.52875,74.330625,24,51,images/plume/20230327_methane_mixing_ratio_id_6675
20230301,id_6084,yes,train,26.7566666666667,80.9733333333333,29,67,images/plume/20230301_methane_mixing_ratio_id_6084
20230315,id_3348,yes,train,33.5133333333333,-87.2033333333333,34,59,images/plume/20230315_methane_mixing_ratio_id_3348
20230126,id_6675,yes,train,31.52875,74.330625,24,49,images/plume/20230126_methane_mixing_ratio_id_6675
20230106,id_8714,yes,train,27.8933333333333,-101.293333333333,56,3,images/plume/20230106_methane_mixing_ratio_id_8714
20230109,id_9482,yes,train,23.95375,90.21875,42,58,images/plume/20230109_methane_mixing_ratio_id_9482
20230205,id_4803,yes,train,21.69,39.3,39,6,images/plume/20230205_methane_mixing_ratio_id_4803
20230117,id_6127,yes,train,32.15,74.405,6,48,images/plume/20230117_methane_mixing_ratio_id_6127
20230109,id_0471,yes,train,31.38,-103.41,27,37,images/plume/20230109_methane_mixing_ratio_id_0471
20230227,id_9907,yes,train,-34.55125,-58.58625,58,26,images/plume/20230227_methane_mixing_ratio_id_9907
20230128,id_7820,yes,train,17.475,78.58,26,63,images/plume/20230128_methane_mixing_ratio_id_7820
20230404,id_6516,yes,train,24.9075,67.023,14,15,images/plume/20230404_methane_mixing_ratio_id_6516
20230228,id_6464,yes,train,27.0075,81.04,22,9,images/plume/20230228_methane_mixing_ratio_id_6464
20230314,id_0765,yes,train,15.605,46.0025,14,34,images/plume/20230314_methane_mixing_ratio_id_0765
20230403,id_3353,yes,train,22.528,88.452,15,38,images/plume/20230403_methane_mixing_ratio_id_3353
20230115,id_6675,yes,train,31.52875,74.330625,23,47,images/plume/20230115_methane_mixing_ratio_id_6675
20230330,id_8060,yes,train,37.26,-82.192,57,35,images/plume/20230330_methane_mixing_ratio_id_8060
20230330,id_8060,yes,train,37.26,-82.192,57,43,images/plume/20230330_methane_mixing_ratio_id_8060
20230206,id_7820,yes,train,17.475,78.58,30,66,images/plume/20230206_methane_mixing_ratio_id_7820
20230207,id_2274,yes,train,28.51,77.4424,48,77,images/plume/20230207_methane_mixing_ratio_id_2274
20230221,id_9715,yes,train,19.124,72.886,52,10,images/plume/20230221_methane_mixing_ratio_id_9715
20230215,id_8446,yes,train,22.930625,72.536875,3,2,images/plume/20230215_methane_mixing_ratio_id_8446
20230313,id_8773,yes,train,51.85,75.446,32,2,images/plume/20230313_methane_mixing_ratio_id_8773
20230307,id_1465,yes,train,23.8333333333333,90.46,44,66,images/plume/20230307_methane_mixing_ratio_id_1465
20230110,id_2274,yes,train,28.51,77.4424,51,61,images/plume/20230110_methane_mixing_ratio_id_2274
20230120,id_6459,yes,train,31.685,-104.02,18,23,images/plume/20230120_methane_mixing_ratio_id_6459
20230127,id_2274,yes,train,28.51,77.4424,56,75,images/plume/20230127_methane_mixing_ratio_id_2274
20230210,id_4803,yes,train,21.69,39.3,41,8,images/plume/20230210_methane_mixing_ratio_id_4803
20230221,id_5491,yes,train,30.2466666666667,71.4833333333333,57,60,images/plume/20230221_methane_mixing_ratio_id_5491
20230205,id_6148,yes,train,23.4375,90.645,55,4,images/plume/20230205_methane_mixing_ratio_id_6148
20230121,id_9857,yes,train,23.1375,72.495,64,62,images/plume/20230121_methane_mixing_ratio_id_9857
20230206,id_3733,yes,train,26.4242857142857,80.2842857142857,35,45,images/plume/20230206_methane_mixing_ratio_id_3733
20230228,id_9028,yes,train,22.2866666666667,73.1266666666667,22,16,images/plume/20230228_methane_mixing_ratio_id_9028
20230103,id_3192,yes,train,32.845,116.47,51,52,images/plume/20230103_methane_mixing_ratio_id_3192
20230124,id_0765,yes,train,15.605,46.0025,17,20,images/plume/20230124_methane_mixing_ratio_id_0765
20230212,id_2274,yes,train,28.51,77.4424,45,66,images/plume/20230212_methane_mixing_ratio_id_2274
20230224,id_7820,yes,train,17.475,78.58,28,63,images/plume/20230224_methane_mixing_ratio_id_7820
20230405,id_2274,yes,train,28.51,77.4424,39,59,images/plume/20230405_methane_mixing_ratio_id_2274
20230124,id_3534,yes,train,-26.63,29.0225,36,50,images/plume/20230124_methane_mixing_ratio_id_3534
20230228,id_8446,yes,train,22.930625,72.536875,7,-8,images/plume/20230228_methane_mixing_ratio_id_8446
20230111,id_2146,yes,train,35.11,40.5225,51,36,images/plume/20230111_methane_mixing_ratio_id_2146
